FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
211467,2324,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211468,2325,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211469,2326,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211470,2327,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211471,2328,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211472,2329,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211473,2330,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,cleared & stained,,
211474,2331,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,07 Feb 1979,,A. R. Resetar,,,,,
211475,2340,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,08 Feb 1979,,A. R. Resetar,,,,,
211476,2341,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,08 Feb 1979,,A. R. Resetar,,,cleared & stained,,
211477,2342,Anolis cristatellus cristatellus,"North America, Puerto Rico: Jardin Zoologico de Puerto Rico in Mayaguez",,08 Feb 1979,,A. R. Resetar,,,,,
211478,2346,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,30 Jan 1979,,A. R. Resetar,,,,Laid 2 eggs.,
211479,2347,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,04 Feb 1979,,A. R. Resetar,,,,"Laid 1 egg, also preserved.",
211480,2348,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,30 Jan 1979,,A. R. Resetar,,,,,Male
211481,2356,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Candelaria, near Lajas",,09 Feb 1979,,A. R. Resetar,,,,Red dewlap.,
211482,2359,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua",,03 Feb 1979,,A. R. Resetar,,,,Near campground.,
211483,2360,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua",,03 Feb 1979,,A. R. Resetar,,,,Near campground.,
211484,2373,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211485,2374,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211486,2375,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211487,2376,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211488,2377,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211489,2378,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211490,2379,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211491,2380,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211492,2382,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap small brown; prob. young female of above.,
211493,2383,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from intersection with Hwy 102",,11 Feb 1979,,A. R. Resetar,,,,Dewlap small brown; prob. young female of above.,
