FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
166354,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166355,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166356,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166357,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166358,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166359,60,Anolis cristatellus,"North America, Puerto Rico: San Juan, El Abonico Bastion of Fort San Cristobal",,24 Sep 1963,,E. M. Nelson,,,,From the walls of this old fort. These lizards capable of fairly rapid change in color from very dark brown to lite ashy grey.,
166360,93,Anolis cristatellus,"North America, Puerto Rico: San Juan, Univ of PR, School of Medicine",,03 Aug 1962,,E. M. Nelson,,,,,
166361,92,Anolis cristatellus,"North America, Puerto Rico: from trees in field near Caserio Lopez Sicardo of Rio Piedras",,11 Mar 1963,,E. M. Nelson,,,,,
166362,92,Anolis cristatellus,"North America, Puerto Rico: from trees in field near Caserio Lopez Sicardo of Rio Piedras",,11 Mar 1963,,E. M. Nelson,,,,,
166363,39,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, near house at Calle Cisne #804",,08 Apr 1962,,E. M. Nelson,,,,,
166364,39,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, near house at Calle Cisne #804",,08 Apr 1962,,E. M. Nelson,,,,,
166365,39,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, near house at Calle Cisne #804",,08 Apr 1962,,E. M. Nelson,,,,,
166366,76,Anolis cristatellus,"North America, Puerto Rico: Costa del Oro (a beach on Atlantic coast between Dorado Beach & Dorado Hilton Hotels)",,22 Sep 1963,,E. M. Nelson,,,,From the trees of the grove just above the sandy edge.,
166367,76,Anolis cristatellus,"North America, Puerto Rico: Costa del Oro (a beach on Atlantic coast between Dorado Beach & Dorado Hilton Hotels)",,22 Sep 1963,,E. M. Nelson,,,,From the trees of the grove just above the sandy edge.,
166368,76,Anolis cristatellus,"North America, Puerto Rico: Costa del Oro (a beach on Atlantic coast between Dorado Beach & Dorado Hilton Hotels)",,22 Sep 1963,,E. M. Nelson,,,,From the trees of the grove just above the sandy edge.,
166369,76,Anolis cristatellus,"North America, Puerto Rico: Costa del Oro (a beach on Atlantic coast between Dorado Beach & Dorado Hilton Hotels)",,22 Sep 1963,,E. M. Nelson,,,,From the trees of the grove just above the sandy edge.,
166370,76,Anolis cristatellus,"North America, Puerto Rico: Costa del Oro (a beach on Atlantic coast between Dorado Beach & Dorado Hilton Hotels)",,22 Sep 1963,,E. M. Nelson,,,,From the trees of the grove just above the sandy edge.,
166371,76,Anolis cristatellus,"North America, Puerto Rico: Costa del Oro (a beach on Atlantic coast between Dorado Beach & Dorado Hilton Hotels)",,22 Sep 1963,,E. M. Nelson,,,,From the trees of the grove just above the sandy edge.,
166372,126,Anolis cristatellus,"North America, Puerto Rico: San Juan, from the walls of the School of Medicine (UPR)",,19 Oct 1963,,E. M. Nelson,,,,,
166373,6,Anolis cristatellus,"North America, Puerto Rico: near Aguas Buenas, Hwy 173, Km 4.0",,29 Jun 1961,,E. M. Nelson,,,,,
166374,5,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,04 Jul 1961,,E. M. Nelson,,,,,
166375,35,Anolis cristatellus,"North America, Puerto Rico: east of San Lorenzo, Hwy 183, Km 16.9",,18 Jan 1964,,E. M. Nelson,,,,From fenceposts alongside of road.,
166376,35,Anolis cristatellus,"North America, Puerto Rico: east of San Lorenzo, Hwy 183, Km 16.9",,18 Jan 1964,,E. M. Nelson,,,,From fenceposts alongside of road.,
166377,35,Anolis cristatellus,"North America, Puerto Rico: east of San Lorenzo, Hwy 183, Km 16.9",,18 Jan 1964,,E. M. Nelson,,,,From fenceposts alongside of road.,
166378,35,Anolis cristatellus,"North America, Puerto Rico: east of San Lorenzo, Hwy 183, Km 16.9",,18 Jan 1964,,E. M. Nelson,,,,From fenceposts alongside of road.,
244496,REG F559.1,Anolis cristatellus,"North America, Puerto Rico: campus of Catholic University",,07 Dec 1960,,Students,,,,,
244497,REG 603,Anolis cristatellus,"North America, Puerto Rico: Vieques Island",, Sep 1951,,W. P. Couch,,,,,
166381,,Anolis cuvieri,"North America, Puerto Rico: near Baranquitas, Hwy 162, Km 8.9",,29 Jun 1961,,E. M. Nelson,,,,Purchased from local youth who had painted it green to look like others of this type which were seen in the green vegetation.,
38572,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
38573,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
38574,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
38575,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
38576,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
38577,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
38578,,Anolis evermanni,"North America, Puerto Rico",,,,H. Trapido,,,,,
130251,H61-130,Anolis evermanni,"North America, Puerto Rico: Coca Falls",,08 Jun 1961,,M. Fulton,,,,,
130252,H61-131,Anolis evermanni,"North America, Puerto Rico: Coca Falls",,08 Jun 1961,,M. Fulton,,,,,
130253,H61-132,Anolis evermanni,"North America, Puerto Rico: Coca Falls",,08 Jun 1961,,M. Fulton,,,,,
130254,H61-133,Anolis evermanni,"North America, Puerto Rico: El Yunke rain forest, La Mina between rests 1 & 2",,08 Jun 1961,,M. Fulton,,,,,
130255,H61-133,Anolis evermanni,"North America, Puerto Rico: El Yunke rain forest, La Mina between rests 1 & 2",,08 Jun 1961,,M. Fulton,,,,,
130256,H61-134,Anolis evermanni,"North America, Puerto Rico: El Yunke rain forest, La Mina near 2nd rest",,08 Jun 1961,,M. Fulton,,,,,
130257,H61-135,Anolis evermanni,"North America, Puerto Rico: El Yunke rain forest, La Mina near 2nd rest",,08 Jun 1961,,M. Fulton,,,,,
133318,H62-80,Anolis evermanni,"North America, Puerto Rico: Maricao Forest, Rt 105, Km 22.9",,18 Jun 1962,,E. M. Nelson,,,,,
166329,91,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts, Hwy 191, Km 5.3",,25 Jan 1964,,E. M. Nelson,,,,,
166330,91,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts, Hwy 191, Km 5.3",,25 Jan 1964,,E. M. Nelson,,,,,
166331,91,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts, Hwy 191, Km 5.3",,25 Jan 1964,,E. M. Nelson,,,,,
166332,91,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts, Hwy 191, Km 5.3",,25 Jan 1964,,E. M. Nelson,,,,,
166333,57,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts on east end of Puerto Rico, Hwy 191, Km 12.0, along the path leading up to the peak of Mt Britton",,25 Jan 1964,,E. M. Nelson,,,,,
166334,57,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts on east end of Puerto Rico, Hwy 191, Km 12.0, along the path leading up to the peak of Mt Britton",,25 Jan 1964,,E. M. Nelson,,,,,
166335,57,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts on east end of Puerto Rico, Hwy 191, Km 12.0, along the path leading up to the peak of Mt Britton",,25 Jan 1964,,E. M. Nelson,,,,,
166336,57,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts on east end of Puerto Rico, Hwy 191, Km 12.0, along the path leading up to the peak of Mt Britton",,25 Jan 1964,,E. M. Nelson,,,,,
166337,57,Anolis evermanni,"North America, Puerto Rico: on north slope of Luquillo Mts on east end of Puerto Rico, Hwy 191, Km 12.0, along the path leading up to the peak of Mt Britton",,25 Jan 1964,,E. M. Nelson,,,,,
211372,2418,Anolis evermanni,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Greenish color in life.,
211373,2419,Anolis evermanni,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Greenish color in life.,
211374,2420,Anolis evermanni,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Greenish color in life.,
211375,2421,Anolis evermanni,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,"Greenish color in life, dewlap yellow orange.",
211376,2432,Anolis evermanni,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,"Green in life, photo.",
51981,6669,Anolis gundlachi,"North America, Puerto Rico: Loiza Aldea",,15 Jun 1947,,H. Trapido,,,,On fence post.,
211377,2422,Anolis gundlachi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap brownish.,
211378,2423,Anolis gundlachi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap brownish.,
211379,2424,Anolis gundlachi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap brownish.,
211380,2425,Anolis gundlachi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap brownish.,
211381,2433,Anolis gundlachi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap brownish olive. Photo.,
12395,112,Anolis krugi,"North America, Puerto Rico: Mayaguez, exp. sta. Grounds",,01 Feb 1924,,S. T. Danforth,,,,,
12398,108,Anolis krugi,"North America, Puerto Rico: Mayaguez",,20 Jun 1924,,S. T. Danforth,,,,,
166301,6,Anolis krugi,"North America, Puerto Rico: near Aguas Buenas, Highway 173, Km 4.0",,29 Jun 1961,,E. M. Nelson,,,,,
211348,2426,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap reddish. Found in pine woods.,
211349,2427,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap reddish. Found in pine woods.,
211350,2430,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,"Pine woods, high alt.",
211351,2429,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,"Pine woods, high alt.",
211352,2428,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,"Pine woods, high alt.",
211364,2273,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Susua, along Rio Loco",,02 Feb 1979,,A. R. Resetar,,,,Sugar cane river trail. 8:30-10:30 pm.,
211365,2274,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Susua, along Rio Loco",,02 Feb 1979,,A. R. Resetar,,,,Sugar cane river trail. 8:30-10:30 pm.,
211366,2298,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Susua",,02 Feb 1979,,A. R. Resetar,,,,,
211367,2386,Anolis krugi,"North America, Puerto Rico: Reserva Forestal Maricao, on Hwy 362, 3 mi from X/Hwy 102",,02 Feb 1979,,A. R. Resetar,,,,"On small tree 6' high, 1"" diameter. Orange dewlap, blue spots on neck.",
211368,2396,Anolis krugi,"North America, Puerto Rico: along Rio Rosario at Hwy 114, west of San German, east of Cabo Rojo, east of intersection with Highway 319",,02 Feb 1979,,A. R. Resetar,,,,Orange dewlap.,
211369,2397,Anolis krugi,"North America, Puerto Rico: along Rio Rosario at Hwy 114, west of San German, east of Cabo Rojo, east of intersection with Highway 319",,02 Feb 1979,,A. R. Resetar,,,,Orange dewlap.,
211370,2398,Anolis krugi,"North America, Puerto Rico: along Rio Rosario at Hwy 114, west of San German, east of Cabo Rojo, east of intersection with Highway 319",,02 Feb 1979,,A. R. Resetar,,,,Orange dewlap.,
211371,2399,Anolis krugi,"North America, Puerto Rico: along Rio Rosario at Hwy 114, west of San German, east of Cabo Rojo, east of intersection with Highway 319",,02 Feb 1979,,A. R. Resetar,,,,Orange dewlap.,
211347,2438,Anolis occultus,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Reddish eyes.,
211382,2365,Anolis poncensis,"North America, Puerto Rico: Guanica, Highway 334, Barrio Luna",,04 Feb 1979,,A. R. Resetar,,,,Uncolored dewlap.,
12396,862,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,26 May 1924,,S. T. Danforth,,,,,
12397,107,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,20 Jun 1924,,S. T. Danforth,,,,,
12399,2,Anolis pulchellus,"North America, Puerto Rico: Desengano",,16 May 1924,,S. T. Danforth,,,,,
12400,11,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12401,82,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,06 Jan 1924,,S. T. Danforth,,,,,
12402,73,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,10 Dec 1923,,S. T. Danforth,,,,,
12403,74,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,10 Dec 1923,,S. T. Danforth,,,,,
12404,75,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,10 Dec 1923,,S. T. Danforth,,,,,
12405,76,Anolis pulchellus,"North America, Puerto Rico: Mayaguez",,10 Dec 1923,,S. T. Danforth,,,,,
12406,6,Anolis pulchellus,"North America, Puerto Rico: Humacao",,04 Feb 2009,,S. T. Danforth,,,,,
12407,7,Anolis pulchellus,"North America, Puerto Rico: Humacao",,04 Jan 1924,,S. T. Danforth,,,,,
12408,8,Anolis pulchellus,"North America, Puerto Rico: Humacao",,04 Jan 1924,,S. T. Danforth,,,,,
12409,9,Anolis pulchellus,"North America, Puerto Rico: Humacao",,04 Jan 1924,,S. T. Danforth,,,,,
12410,10,Anolis pulchellus,"North America, Puerto Rico: Desengano",,27 May 1924,,S. T. Danforth,,,,,
12411,11,Anolis pulchellus,"North America, Puerto Rico: Desengano",,27 May 1924,,S. T. Danforth,,,,,
12412,12,Anolis pulchellus,"North America, Puerto Rico: Desengano",,27 May 1924,,S. T. Danforth,,,,,
38568,,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
38569,,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,20 Sep 1941,,H. Trapido,,,,,
38570,,Anolis pulchellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
38571,,Anolis pulchellus,"North America, Puerto Rico",,,,H. Trapido,,,,,
57596,6922,Anolis pulchellus,"North America, Puerto Rico: 2 mi W Juana Diaz, 100'",,22 Sep 1948,,H. Trapido,,,,On tree trunks.,
130210,H61-140,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Urb El Paraiso, Cupey Alto Road, Km 1",,07 Jun 1961,,J. DeBell,,,,Open field.,
130211,H61-141,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130212,H61-142,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130213,H61-143,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130214,H61-144,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130215,H61-145,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130216,H61-146,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130217,H61-147,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130218,H61-148,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130219,H61-149,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,07 Jun 1961,,J. DeBell,,,,,
130220,H61-53,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,22 May 1961,,M. Nelson,,,,,
130221,H61-54,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,22 May 1961,,M. Nelson,,,,,
130222,H61-55,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,22 May 1961,,M. Nelson,,,,,
130223,H61-56,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,22 May 1961,,M. Nelson,,,,,
130224,H61-25,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,21 May 1961,,M. Nelson,,,,,
130225,H61-26,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,21 May 1961,,M. Nelson,,,,,
130226,H61-27,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,21 May 1961,,M. Nelson,,,,,
130227,H61-28,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,21 May 1961,,M. Nelson,,,,,
130228,H61-150,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,09 Jun 1961,,J. DeBell,,,,,
130229,H61-151,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,09 Jun 1961,,J. DeBell,,,,,
130230,H61-152,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,09 Jun 1961,,J. DeBell,,,,,
130231,H61-153,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,09 Jun 1961,,J. DeBell,,,,,
130232,H61-154,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,09 Jun 1961,,J. DeBell,,,,,
130233,H61-155,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,09 Jun 1961,,J. DeBell,,,,,
130234,H61-156,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Urb El Paraiso, Cupey Alto Road, Km 1",,09 Jun 1961,,J. DeBell,,,,,
130235,H61-157,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,11 Jun 1961,,J. DeBell,,,,,
130236,H61-158,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,11 Jun 1961,,J. DeBell,,,,,
130237,H61-159,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,11 Jun 1961,,J. DeBell,,,,,
130238,H61-160,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,11 Jun 1961,,J. DeBell,,,,,
130239,H61-161,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,11 Jun 1961,,J. DeBell,,,,,
130240,H61-162,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,11 Jun 1961,,J. DeBell,,,,,
130241,H61-163,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",, Jun 1961,,J. DeBell,,,,,
130242,H61-164,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",, Jun 1961,,J. DeBell,,,,,
130243,H61-165,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,29 May 1961,,M. Nelson,,,,,
130244,H61-166,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,29 May 1961,,M. Nelson,,,,,
130245,H61-167,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,29 May 1961,,M. Nelson,,,,,
130246,H61-168,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,29 May 1961,,M. Nelson,,,,,
130247,H61-169,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,29 May 1961,,M. Nelson,,,,,
130248,H61-170,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,29 May 1961,,M. Nelson,,,,,
130249,H61-7,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras",,,,E. M. Nelson,,,,,
133296,H62-16,Anolis pulchellus,"North America, Puerto Rico: San Juan, Calle Pesante",,07 Jun 1962,,Juanita,,,,,
133299,H62-15,Anolis pulchellus,"North America, Puerto Rico: San Juan, Calle Pesante",,07 Jun 1962,,Juanita,,,,,
133300,H62-35,Anolis pulchellus,"North America, Puerto Rico: San Juan, Calle Pesante",,08 Jun 1962,,Juanita,,,,,
133315,H62-63,Anolis pulchellus,"North America, Puerto Rico: San German",,13 Jun 1962,,F. S. Velez,,,,,
166302,39,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, near house at Calle Cisne #804",,18 Apr 1962,,E. M. Nelson,,,,,
166303,39,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, near house at Calle Cisne #804",,18 Apr 1962,,E. M. Nelson,,,,,
166304,5,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,04 Jul 1961,,E. M. Nelson,,,,,
166305,75,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, field next to Calle Cisne #804",,21 Sep 1963,,E. M. Nelson,,,,The common lizard in low vegetation.,
166306,75,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, field next to Calle Cisne #804",,21 Sep 1963,,E. M. Nelson,,,,The common lizard in low vegetation.,
166307,75,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, field next to Calle Cisne #804",,21 Sep 1963,,E. M. Nelson,,,,Common lizard in low vegetation.,
166308,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166309,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166310,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166311,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166312,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166313,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166314,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166315,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166316,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166317,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166318,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166319,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166320,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166321,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166322,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166323,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166324,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166325,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166326,84,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, 65th Inf. Hwy, Km 2.5",,18 Jun 1961,,F. A. Wadsworth,,,,,
166327,1,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,22 Jun 1961,,E. M. Nelson,,,,This species is common throughout the Metropolitan San Juan area - found mainly in relation to low vegetation.,
166328,1,Anolis pulchellus,"North America, Puerto Rico: Rio Piedras, Dos Pinos Ext, Calle Cisne #804",,22 Jun 1961,,E. M. Nelson,,,,This species is common throughout the Metropolitan San Juan area - found mainly in relation to low vegetation.,
207309,AR 37,Anolis pulchellus,"North America, Puerto Rico, Toa Baja Municipality: 1 mi N Dorado, Costa del Oro Urbanization",,28 Dec 1977,,"Alan Resetar, Michael Evans",,,,"12 AM, 75_. Disturbed lowlands. Found on small banana plants, etc.",
