"","site","recordedBy","lat","long","uncertainty","species","Nindividuals","year","Elev","basisOfRecord","alt","pt.alt"
"67","HaciendaRosas","Luisa Otero",18.2975505,-66.6241554,500,"cristatellus",485,2012,NA,"sight",357.519540379662,370.432922907607
"68","HaciendaRosas","Luisa Otero",18.2975505,-66.6241554,500,"evermanni",4,2012,NA,"sight",357.519540379662,370.432922907607
"69","HaciendaRosas","Luisa Otero",18.2975505,-66.6241554,500,"gundlachi",160,2012,NA,"sight",357.519540379662,370.432922907607
"70","HaciendaRosas","Luisa Otero",18.2975505,-66.6241554,500,"krugi",1,2012,NA,"sight",357.519540379662,370.432922907607
"71","HaciendaRosas","Luisa Otero",18.2975505,-66.6241554,500,"stratulus",4,2012,NA,"sight",357.519540379662,370.432922907607
"72","MtBritton","Luisa Otero",18.3019,-65.792998,500,"evermanni",2,2012,NA,"sight",836.654516619251,901.258729901823
"73","MtBritton","Luisa Otero",18.3019,-65.792998,500,"gundlachi",593,2012,NA,"sight",836.654516619251,901.258729901823
"74","PuntaSalinas","Luisa Otero",18.465,-66.189,500,"cristatellus",2983,2012,NA,"sight",1.4906790281622,1.33681880708108
"75","PuntaSalinas","Luisa Otero",18.465,-66.189,500,"evermanni",9,2012,NA,"sight",1.4906790281622,1.33681880708108
"76","PuntaSalinas","Luisa Otero",18.465,-66.189,500,"stratulus",6,2012,NA,"sight",1.4906790281622,1.33681880708108
"77","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"cristatellus",901,2012,NA,"sight",106.155559810472,92.1788535361082
"78","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"cuvieri",1,2012,NA,"sight",106.155559810472,92.1788535361082
"79","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"evermanni",7,2012,NA,"sight",106.155559810472,92.1788535361082
"80","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"gundlachi",759,2012,NA,"sight",106.155559810472,92.1788535361082
"81","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"krugi",10,2012,NA,"sight",106.155559810472,92.1788535361082
"82","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"pulchellus",2,2012,NA,"sight",106.155559810472,92.1788535361082
"83","RangerHouse","Luisa Otero",18.3394,-65.8252,500,"stratulus",18,2012,NA,"sight",106.155559810472,92.1788535361082
"84","RioPiedras","Luisa Otero",18.4035,-66.1007,500,"cristatellus",979,2012,NA,"sight",24.4552482487613,23.5349971844525
"85","RioPiedras","Luisa Otero",18.4035,-66.1007,500,"stratulus",9,2012,NA,"sight",24.4552482487613,23.5349971844525
"86","Monagas","Luisa Otero",18.407,-66.138,500,"cristatellus",1114,2012,NA,"sight",28.5354104178557,20.0757236054066
"87","Herrera Montes Site A1","Adriana Herrera Montes",18.3495,-65.7342165,500,"cristatellus",1,2006,NA,"sight",55.9146369106888,49.1209913361897
"88","Herrera Montes Site A1","Adriana Herrera Montes",18.3495,-65.7342165,500,"evermanni",1,2006,NA,"sight",55.9146369106888,49.1209913361897
"89","Herrera Montes Site A1","Adriana Herrera Montes",18.3495,-65.7342165,500,"gundlachi",1,2006,NA,"sight",55.9146369106888,49.1209913361897
"90","Herrera Montes Site A1","Adriana Herrera Montes",18.3495,-65.7342165,500,"pulchellus",1,2006,NA,"sight",55.9146369106888,49.1209913361897
"91","Herrera Montes Site A2","Adriana Herrera Montes",18.3394,-65.734688,500,"cristatellus",1,2006,NA,"sight",126.14772800308,165.354721138721
"92","Herrera Montes Site A2","Adriana Herrera Montes",18.3394,-65.734688,500,"gundlachi",1,2006,NA,"sight",126.14772800308,165.354721138721
"93","Herrera Montes Site A2","Adriana Herrera Montes",18.3394,-65.734688,500,"pulchellus",1,2006,NA,"sight",126.14772800308,165.354721138721
"94","Herrera Montes Site A3","Adriana Herrera Montes",18.3437,-65.732322,500,"gundlachi",1,2006,NA,"sight",65.8036901067274,49.2968796190639
"95","Herrera Montes Site I1","Adriana Herrera Montes",18.344234,-65.732322,500,"cristatellus",1,2006,NA,"sight",62.3886328304853,67.452573759808
"96","Herrera Montes Site I1","Adriana Herrera Montes",18.344234,-65.732322,500,"evermanni",1,2006,NA,"sight",62.3886328304853,67.452573759808
"97","Herrera Montes Site I1","Adriana Herrera Montes",18.344234,-65.732322,500,"gundlachi",1,2006,NA,"sight",62.3886328304853,67.452573759808
"98","Herrera Montes Site I1","Adriana Herrera Montes",18.344234,-65.732322,500,"pulchellus",1,2006,NA,"sight",62.3886328304853,67.452573759808
"99","Herrera Montes Site I1","Adriana Herrera Montes",18.344234,-65.732322,500,"stratulus",1,2006,NA,"sight",62.3886328304853,67.452573759808
"100","Herrera Montes Site I2","Adriana Herrera Montes",18.338606,-65.741535,500,"cristatellus",1,2006,NA,"sight",207.673687419302,236.669528304387
