gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
476774572	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132081_A_krugi_skv.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_leftjawd.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_leftjawlab.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_leftjawling.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_pmx.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_rightjawd.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_rightjawlab.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_rightjawling.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_skl.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_skl_2.jpg											
476645163	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R141771_A_cristatellus_skv.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_leftjawd.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_leftjawlab.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_leftjawling.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_pmx.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_rightjawd.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_rightjawlab.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_rightjawling.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_skl.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_skl_2.jpg											
476743524	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R61999_A_poncensis_skv.jpg											
1122957744	StillImage	image/jpeg	http://static.inaturalist.org/photos/1405706/original.jpg?1417987481	http://www.inaturalist.org/photos/1405706			2014-12-03T22:16Z	sas103		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	sas103
1065613351	StillImage	image/jpeg	http://static.inaturalist.org/photos/1558916/original.jpg?1424135794	http://www.inaturalist.org/photos/1558916			2015-02-13T14:00Z	karla-aran		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	karla-aran
1145547368				http://arctos.database.museum/MediaSearch.cfm?collection_object_id=21066516										
1038346462	StillImage	image/jpeg	http://static.inaturalist.org/photos/1323937/original.jpg?1415160500	http://www.inaturalist.org/photos/1323937			2014-11-04T23:19Z	elianet-roldan		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	elianet-roldan
1038347429	StillImage	image/jpeg	http://static.inaturalist.org/photos/1327617/original.jpg?1415321615	http://www.inaturalist.org/photos/1327617			2014-07-16T00:00Z	josephkevin		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	josephkevin
1042814837	StillImage	image/jpeg	http://static.inaturalist.org/photos/1329828/original.jpg?1415402554	http://www.inaturalist.org/photos/1329828			2014-11-05T15:35Z	valeria_correa17		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	valeria_correa17
891174592	StillImage	image/jpeg	http://static.inaturalist.org/photos/403104/original.JPG?1373213714	http://www.inaturalist.org/photos/403104			2013-01-01T23:36Z	bnorth5		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	bnorth5
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_leftjawd.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_leftjawlab.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_leftjawling.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_pmx.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_rightjawd.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_rightjawlab.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_rightjawling.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_skl.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_skl_2.jpg											
476651621	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R101911_A_cooki_skv.jpg											
476760188	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R115707_A_cooki_dx.jpg											
476755162	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R122197_A_cristatellus_hemipenes_sul.jpg											
476520254	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R150901_A_pulchellus_hemipenes_sul.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_pmx.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_rightjawd.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_rightjawlab.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_rightjawling.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_skl.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_skl_2.jpg											
476772260	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131672_A_poncensis_skv.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_leftjawd.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_leftjawlab.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_leftjawling.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_pmx.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_pteryg.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_rightjawd.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_rightjawlab.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_rightjawling.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_skl.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_skl_2.jpg											
476774337	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132035_A_evermanni_skv.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_leftjawd.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_leftjawlab.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_pmx.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_pteryg.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_rightjawlab.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_skl.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_skl_2.jpg											
476766480	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R131960_A_pulchellus_skv.jpg											
476774116	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132017_A_cristatellus_pmx.jpg											
476774116	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132017_A_cristatellus_skl.jpg											
476774116	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132017_A_cristatellus_skl_2.jpg											
476774116	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132017_A_cristatellus_skv.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_leftjawd.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_leftjawlab.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_leftjawling.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_pmx.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_rightjawd.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_rightjawlab.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_rightjawling.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_skl.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_skl_2.jpg											
476774789	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R132097_A_stratulus_skv.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_leftjawd.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_leftjawlab.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_leftjawling.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_pmx.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_rightjawd.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_rightjawlab.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_rightjawling.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_skl.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_skl_2.jpg											
476765381	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R118864_A_desechensis_skv.jpg											
476733578	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R158234_A_poncensis_rightjawd.jpg											
476733578	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R158234_A_poncensis_rightjawlab.jpg											
476733578	StillImage	image/jpeg	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/R158234_A_poncensis_rightjawling.jpg											
